Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Frame 1	DL	SL	Wutt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Frame 2	DL	SL	Wutt	*	Wdtt	*	Frame 3	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	Angle	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
37	25.00	0.55	0.35	0.74	592.77	-3.96	1726.59	-3.40	1482.71	-4.45	1941.10	-5.08	2217.13	-4.51	1969.37	-3.65	1590.79	45.00	0.55	0.20	0.80	355.45	-0.87	459.69	29.43	0.55	0.32	-3.93	2413.20	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
38	25.00	0.55	0.35	0.74	592.77	-4.10	1783.78	-3.85	1677.21	-5.02	2186.01	-4.97	2162.51	-3.42	1491.40	-3.51	1530.21	45.00	0.55	0.20	0.80	355.45	-0.87	459.69	29.36	0.55	0.32	-3.93	2414.77	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
39	25.00	0.55	0.35	0.74	592.77	-4.10	1783.78	-3.85	1677.21	-5.02	2186.01	-4.97	2162.51	-3.42	1491.40	-3.51	1530.21	45.00	0.55	0.20	0.80	355.45	-0.87	459.69	29.09	0.55	0.32	-3.92	2420.73	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
40	25.00	0.55	0.35	0.74	592.77	-4.10	1783.78	-3.85	1677.21	-5.02	2186.01	-4.97	2162.51	-3.42	1491.40	-3.51	1530.21	45.00	0.55	0.20	0.80	355.45	-0.87	459.69	28.54	0.55	0.32	-3.91	2432.67	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
41	25.00	0.55	0.35	0.71	469.95	-4.10	1783.78	-3.85	1677.21	-5.02	2186.01	-4.97	2162.51	-3.42	1491.40	-3.51	1530.21	45.00	0.55	0.20	0.78	318.23	-0.83	372.21	27.72	0.55	0.33	-3.61	2063.09	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
42	25.00	0.55	0.35	0.71	469.95	-4.10	1783.78	-3.85	1677.21	-5.02	2186.01	-4.97	2162.51	-3.42	1491.40	-3.51	1530.21	45.00	0.55	0.20	0.78	318.23	-0.83	372.21	26.81	0.55	0.34	-3.64	2108.35	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
43	25.00	0.55	0.35	0.71	469.95	-4.10	1783.78	-3.85	1677.21	-5.02	2186.01	-4.97	2162.51	-3.42	1491.40	-3.51	1530.21	45.00	0.55	0.20	0.78	318.23	-0.83	372.21	25.68	0.55	0.35	-3.68	2163.99	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
44	25.00	0.55	0.35	0.71	469.95	-5.07	2060.47	-5.69	2309.30	-4.94	2005.63	-4.54	1841.67	-3.77	1529.33	-4.12	1673.09	45.00	0.55	0.20	0.78	318.23	-0.83	372.21	25.65	0.55	0.35	-3.68	2165.70	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
45	25.00	0.55	0.35	0.71	469.95	-5.07	2060.47	-5.69	2309.30	-4.94	2005.63	-4.54	1841.67	-3.77	1529.33	-4.12	1673.09	45.00	0.55	0.20	0.78	318.23	-0.83	372.21	26.84	0.55	0.34	-3.64	2106.61	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
46	25.00	0.55	0.35	0.77	516.92	-5.07	2060.47	-5.69	2309.30	-4.94	2005.63	-4.54	1841.67	-3.77	1529.33	-4.12	1673.09	45.00	0.55	0.20	0.91	354.48	-0.93	426.62	27.84	0.55	0.33	-4.05	2269.46	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
