Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Angle	DL	SL	Wutt	*	Wdtt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Angle	DL	SL	Wutt	*	Wdtt	*	Angle	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
43	30	0.55	0	1.29	1151.3	-1.21	799.15	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	1.37	1089.01	-1.47	587.45	31.04	0.55	0	-5.7	3624	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
44	30	0.55	0	1.29	1151.3	-1.21	799.15	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	1.37	1089.01	-1.47	587.45	32.95	0.55	0	-5.91	3524.89	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
45	30	0.55	0	1.29	1151.3	-1.21	799.15	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	1.37	1089.01	-1.47	587.45	34.75	0.55	0	-6.12	3431.74	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
46	30	0.55	0	1.66	1202.73	-1.35	741.05	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	2.12	1137.06	-1.94	632.06	36.41	0.55	0	-7.66	3286.81	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
47	30	0.55	0	1.66	1202.73	-1.35	741.05	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	2.12	1137.06	-1.94	632.06	37.72	0.55	0	-7.96	3261.54	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
48	30	0.55	0	1.66	1202.73	-1.35	741.05	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	2.12	1137.06	-1.94	632.06	38.7	0.55	0	-8.18	3242.63	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
49	30	0.55	0	1.66	1202.73	-1.35	741.05	-12.68	3399.6	-12.05	3229.62	-10.46	2802.97	-10.56	2831.87	-9.14	2451.11	-8.43	2260.74	45	0.55	0	2.12	1137.06	-1.94	632.06	39.36	0.55	0	-8.32	3230.04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
50	30	0.55	0	1.66	1202.73	-1.35	741.05	-12.68	3399.6	-12.05	3229.62	-10.46	2802.97	-10.56	2831.87	-9.14	2451.11	-8.43	2260.74	45	0.55	0	2.12	1137.06	-1.94	632.06	39.68	0.55	0	-8.39	3223.75	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Int	Frame 1	DL	SL	Wutt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Frame 2	DL	SL	Wutt	*	Wdtt	*	Frame 3	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	Angle	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
1	30	0.55	0	1.79	1224.56	-12.02	3356.31	-11.07	3092.84	-8.92	2492.06	-9.13	2550.8	-8.49	2372.91	-8.49	2372.91	45	0.55	0	1.58	910.47	-2.05	591.8	39.47	0.55	0	-9.43	3126.86	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
2	30	0.55	0	1.79	1224.56	-12.02	3356.31	-11.07	3092.84	-8.92	2492.06	-9.13	2550.8	-8.49	2372.91	-8.49	2372.91	45	0.55	0	1.58	910.47	-2.05	591.8	39.15	0.55	0	-9.39	3138.56	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
3	30	0.55	0	1.79	1224.56	-7.49	2872.72	-8.21	3149.91	-7.26	2784.52	-6.57	2519.93	-5.8	2226.99	-5.98	2293.13	45	0.55	0	1.58	910.47	-2.05	591.8	38.52	0.55	0	-9.31	3161.99	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
4	30	0.55	0	1.79	1224.56	-7.49	2872.72	-8.21	3149.91	-7.26	2784.52	-6.57	2519.93	-5.8	2226.99	-5.98	2293.13	45	0.55	0	1.58	910.47	-2.05	591.8	37.56	0.55	0	-9.19	3197.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
5	30	0.55	0	1.79	1224.56	-7.49	2872.72	-8.21	3149.91	-7.26	2784.52	-6.57	2519.93	-5.8	2226.99	-5.98	2293.13	45	0.55	0	1.58	910.47	-2.05	591.8	36.28	0.55	0	-9.03	3244.47	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
